Timestamp,ENSEM_ENSAIA/ENSAIA - CTA Mauduit - Etat Programme Horaire
2 févr. 2024 08:15:09 CET,true
2 févr. 2024 08:30:08 CET,true
2 févr. 2024 08:45:07 CET,true
2 févr. 2024 09:00:07 CET,true
2 févr. 2024 09:15:07 CET,true
2 févr. 2024 09:30:08 CET,true
2 févr. 2024 09:45:08 CET,true
2 févr. 2024 10:00:08 CET,true
2 févr. 2024 10:15:09 CET,true
2 févr. 2024 10:30:09 CET,true
2 févr. 2024 10:45:09 CET,true
2 févr. 2024 11:00:08 CET,true
2 févr. 2024 11:15:07 CET,true
2 févr. 2024 11:30:08 CET,true
2 févr. 2024 11:45:08 CET,true
2 févr. 2024 12:00:08 CET,true
2 févr. 2024 12:15:08 CET,false
2 févr. 2024 12:30:08 CET,false
2 févr. 2024 12:45:08 CET,false
2 févr. 2024 13:00:08 CET,false
2 févr. 2024 13:15:09 CET,false
2 févr. 2024 13:30:08 CET,false
2 févr. 2024 13:45:08 CET,true
2 févr. 2024 14:00:07 CET,true
2 févr. 2024 14:15:08 CET,true
2 févr. 2024 14:30:07 CET,true
2 févr. 2024 14:45:08 CET,true
2 févr. 2024 15:00:09 CET,true
2 févr. 2024 15:15:09 CET,true
2 févr. 2024 15:30:08 CET,true
2 févr. 2024 15:45:08 CET,true
2 févr. 2024 16:00:08 CET,true
2 févr. 2024 16:15:07 CET,true
2 févr. 2024 16:30:08 CET,true
2 févr. 2024 16:45:08 CET,true
2 févr. 2024 17:00:08 CET,true
2 févr. 2024 17:15:07 CET,true
2 févr. 2024 17:30:08 CET,true
2 févr. 2024 17:45:09 CET,true
2 févr. 2024 18:00:09 CET,true
2 févr. 2024 18:15:08 CET,false
2 févr. 2024 18:30:07 CET,false
2 févr. 2024 18:45:07 CET,false
2 févr. 2024 19:00:00 CET,false
2 févr. 2024 19:15:07 CET,false
2 févr. 2024 19:30:08 CET,false
2 févr. 2024 19:45:08 CET,false
2 févr. 2024 20:00:08 CET,false
2 févr. 2024 20:15:08 CET,false
2 févr. 2024 20:30:09 CET,false
2 févr. 2024 20:45:07 CET,false
2 févr. 2024 21:00:07 CET,false
2 févr. 2024 21:15:07 CET,false
2 févr. 2024 21:30:07 CET,false
2 févr. 2024 21:45:07 CET,false
2 févr. 2024 22:00:07 CET,false
2 févr. 2024 22:15:08 CET,false
2 févr. 2024 22:30:09 CET,false
2 févr. 2024 22:45:09 CET,false
2 févr. 2024 23:00:07 CET,false
2 févr. 2024 23:15:08 CET,false
2 févr. 2024 23:30:08 CET,false
2 févr. 2024 23:45:08 CET,false
3 févr. 2024 00:00:08 CET,false
3 févr. 2024 00:15:07 CET,false
3 févr. 2024 00:30:08 CET,false
3 févr. 2024 00:45:00 CET,false
3 févr. 2024 01:00:18 CET,false
3 févr. 2024 01:15:08 CET,false
3 févr. 2024 01:30:08 CET,false
3 févr. 2024 01:45:08 CET,false
3 févr. 2024 02:00:07 CET,false
3 févr. 2024 02:15:07 CET,false
3 févr. 2024 02:30:07 CET,false
3 févr. 2024 02:45:08 CET,false
3 févr. 2024 03:00:09 CET,false
3 févr. 2024 03:15:09 CET,false
3 févr. 2024 03:30:09 CET,false
3 févr. 2024 03:45:07 CET,false
3 févr. 2024 04:00:07 CET,false
3 févr. 2024 04:15:08 CET,false
3 févr. 2024 04:30:08 CET,false
3 févr. 2024 04:45:08 CET,false
3 févr. 2024 05:00:07 CET,false
3 févr. 2024 05:15:08 CET,false
3 févr. 2024 05:30:08 CET,false
3 févr. 2024 05:45:08 CET,false
3 févr. 2024 06:00:08 CET,false
3 févr. 2024 06:15:08 CET,false
3 févr. 2024 06:30:00 CET,false
3 févr. 2024 06:45:07 CET,false
3 févr. 2024 07:00:07 CET,false
3 févr. 2024 07:15:08 CET,false
3 févr. 2024 07:30:09 CET,false
3 févr. 2024 07:45:09 CET,false
3 févr. 2024 08:00:09 CET,false
3 févr. 2024 08:15:08 CET,false
3 févr. 2024 08:30:08 CET,false
3 févr. 2024 08:45:08 CET,false
3 févr. 2024 09:00:08 CET,false
3 févr. 2024 09:15:07 CET,false
3 févr. 2024 09:30:07 CET,false
3 févr. 2024 09:45:07 CET,false
3 févr. 2024 10:00:09 CET,false
3 févr. 2024 10:15:09 CET,false
3 févr. 2024 10:30:09 CET,false
3 févr. 2024 10:45:07 CET,false
3 févr. 2024 11:00:07 CET,false
3 févr. 2024 11:15:08 CET,false
3 févr. 2024 11:30:08 CET,false
3 févr. 2024 11:45:08 CET,false
3 févr. 2024 12:00:07 CET,false
3 févr. 2024 12:15:00 CET,false
3 févr. 2024 12:30:09 CET,false
3 févr. 2024 12:45:09 CET,false
3 févr. 2024 13:00:07 CET,false
3 févr. 2024 13:15:08 CET,false
3 févr. 2024 13:30:08 CET,false
3 févr. 2024 13:45:07 CET,false
3 févr. 2024 14:00:07 CET,false
3 févr. 2024 14:15:08 CET,false
3 févr. 2024 14:30:08 CET,false
3 févr. 2024 14:45:08 CET,false
3 févr. 2024 15:00:09 CET,false
3 févr. 2024 15:15:08 CET,false
3 févr. 2024 15:30:07 CET,false
3 févr. 2024 15:45:08 CET,false
3 févr. 2024 16:00:07 CET,false
3 févr. 2024 16:15:08 CET,false
3 févr. 2024 16:30:08 CET,false
3 févr. 2024 16:45:08 CET,false
3 févr. 2024 17:00:07 CET,false
3 févr. 2024 17:15:07 CET,false
3 févr. 2024 17:30:09 CET,false
3 févr. 2024 17:45:09 CET,false
3 févr. 2024 18:00:00 CET,false
3 févr. 2024 18:15:07 CET,false
3 févr. 2024 18:30:07 CET,false
3 févr. 2024 18:45:08 CET,false
3 févr. 2024 19:00:07 CET,false
3 févr. 2024 19:15:07 CET,false
3 févr. 2024 19:30:07 CET,false
3 févr. 2024 19:45:09 CET,false
3 févr. 2024 20:00:09 CET,false
3 févr. 2024 20:15:08 CET,false
3 févr. 2024 20:30:08 CET,false
3 févr. 2024 20:45:08 CET,false
3 févr. 2024 21:00:08 CET,false
3 févr. 2024 21:15:08 CET,false
3 févr. 2024 21:30:07 CET,false
3 févr. 2024 21:45:07 CET,false
3 févr. 2024 22:00:09 CET,false
3 févr. 2024 22:15:09 CET,false
3 févr. 2024 22:30:08 CET,false
3 févr. 2024 22:45:08 CET,false
3 févr. 2024 23:00:08 CET,false
3 févr. 2024 23:15:07 CET,false
3 févr. 2024 23:30:07 CET,false
3 févr. 2024 23:45:08 CET,false
4 févr. 2024 00:00:09 CET,false
4 févr. 2024 00:15:09 CET,false
4 févr. 2024 00:30:08 CET,false
4 févr. 2024 00:45:00 CET,false
4 févr. 2024 01:00:18 CET,false
4 févr. 2024 01:15:07 CET,false
4 févr. 2024 01:30:07 CET,false
4 févr. 2024 01:45:08 CET,false
4 févr. 2024 02:00:08 CET,false
4 févr. 2024 02:15:09 CET,false
4 févr. 2024 02:30:09 CET,false
4 févr. 2024 02:45:07 CET,false
4 févr. 2024 03:00:07 CET,false
4 févr. 2024 03:15:07 CET,false
4 févr. 2024 03:30:08 CET,false
4 févr. 2024 03:45:07 CET,false
4 févr. 2024 04:00:08 CET,false
4 févr. 2024 04:15:08 CET,false
4 févr. 2024 04:30:09 CET,false
4 févr. 2024 04:45:09 CET,false
4 févr. 2024 05:00:07 CET,false
4 févr. 2024 05:15:07 CET,false
4 févr. 2024 05:30:07 CET,false
4 févr. 2024 05:45:07 CET,false
4 févr. 2024 06:00:08 CET,false
4 févr. 2024 06:15:08 CET,false
4 févr. 2024 06:30:09 CET,false
4 févr. 2024 06:45:09 CET,false
4 févr. 2024 07:00:09 CET,false
4 févr. 2024 07:15:07 CET,false
4 févr. 2024 07:30:07 CET,false
4 févr. 2024 07:45:07 CET,false
4 févr. 2024 08:00:08 CET,false
4 févr. 2024 08:15:08 CET,false
4 févr. 2024 08:30:08 CET,false
4 févr. 2024 08:45:08 CET,false
4 févr. 2024 09:00:09 CET,false
4 févr. 2024 09:15:09 CET,false
4 févr. 2024 09:30:08 CET,false
4 févr. 2024 09:45:07 CET,false
4 févr. 2024 10:00:08 CET,false
4 févr. 2024 10:15:08 CET,false
4 févr. 2024 10:30:08 CET,false
4 févr. 2024 10:45:08 CET,false
4 févr. 2024 11:00:08 CET,false
4 févr. 2024 11:15:08 CET,false
