Timestamp,ENSEM_ENSAIA/Centrale mesure générale-energie active totale (kW-hr)
7 févr. 2024 08:49:46 CET,"71590,3"
7 févr. 2024 08:50:01 CET,"71590,5"
7 févr. 2024 08:50:16 CET,"71590,7"
7 févr. 2024 08:50:31 CET,"71590,9"
7 févr. 2024 08:50:46 CET,"71591,2"
7 févr. 2024 08:51:01 CET,"71591,4"
7 févr. 2024 08:51:17 CET,"71591,6"
7 févr. 2024 08:51:32 CET,"71591,9"
7 févr. 2024 08:51:47 CET,"71592,1"
7 févr. 2024 08:52:02 CET,"71592,4"
7 févr. 2024 08:52:17 CET,"71592,6"
7 févr. 2024 08:52:32 CET,"71592,9"
7 févr. 2024 08:52:47 CET,"71593,1"
7 févr. 2024 08:53:02 CET,"71593,3"
7 févr. 2024 08:53:17 CET,"71593,6"
7 févr. 2024 08:53:32 CET,"71593,8"
7 févr. 2024 08:53:47 CET,"71594,0"
7 févr. 2024 08:54:02 CET,"71594,2"
7 févr. 2024 08:54:17 CET,"71594,5"
7 févr. 2024 08:54:33 CET,"71594,7"
7 févr. 2024 08:54:48 CET,"71594,9"
7 févr. 2024 08:55:03 CET,"71595,2"
7 févr. 2024 08:55:18 CET,"71595,4"
7 févr. 2024 08:55:33 CET,"71595,6"
7 févr. 2024 08:55:48 CET,"71595,8"
7 févr. 2024 08:56:03 CET,"71596,1"
7 févr. 2024 08:56:18 CET,"71596,3"
7 févr. 2024 08:56:33 CET,"71596,5"
7 févr. 2024 08:56:48 CET,"71596,8"
7 févr. 2024 08:57:04 CET,"71597,0"
7 févr. 2024 08:57:19 CET,"71597,2"
7 févr. 2024 08:57:34 CET,"71597,5"
7 févr. 2024 08:57:52 CET,"71597,7"
7 févr. 2024 08:58:05 CET,"71597,9"
7 févr. 2024 08:58:20 CET,"71598,2"
7 févr. 2024 08:58:35 CET,"71598,4"
7 févr. 2024 08:58:52 CET,"71598,7"
7 févr. 2024 08:59:07 CET,"71598,9"
7 févr. 2024 08:59:22 CET,"71599,2"
7 févr. 2024 08:59:37 CET,"71599,4"
7 févr. 2024 08:59:52 CET,"71599,6"
7 févr. 2024 09:00:07 CET,"71599,9"
7 févr. 2024 09:00:22 CET,"71600,1"
7 févr. 2024 09:00:37 CET,"71600,3"
7 févr. 2024 09:00:52 CET,"71600,6"
7 févr. 2024 09:01:07 CET,"71600,8"
7 févr. 2024 09:01:23 CET,"71601,0"
7 févr. 2024 09:01:38 CET,"71601,3"
7 févr. 2024 09:01:53 CET,"71601,5"
7 févr. 2024 09:02:08 CET,"71601,7"
7 févr. 2024 09:02:23 CET,"71602,0"
7 févr. 2024 09:02:38 CET,"71602,2"
7 févr. 2024 09:02:53 CET,"71602,4"
7 févr. 2024 09:03:08 CET,"71602,7"
7 févr. 2024 09:03:23 CET,"71602,9"
7 févr. 2024 09:03:38 CET,"71603,1"
7 févr. 2024 09:03:53 CET,"71603,4"
7 févr. 2024 09:04:08 CET,"71603,6"
7 févr. 2024 09:04:23 CET,"71603,8"
7 févr. 2024 09:04:38 CET,"71604,0"
7 févr. 2024 09:04:53 CET,"71604,3"
7 févr. 2024 09:05:09 CET,"71604,5"
7 févr. 2024 09:05:24 CET,"71604,8"
7 févr. 2024 09:05:39 CET,"71605,0"
7 févr. 2024 09:05:54 CET,"71605,2"
7 févr. 2024 09:06:09 CET,"71605,5"
7 févr. 2024 09:06:24 CET,"71605,7"
7 févr. 2024 09:06:39 CET,"71605,9"
7 févr. 2024 09:06:54 CET,"71606,1"
7 févr. 2024 09:07:09 CET,"71606,4"
7 févr. 2024 09:07:24 CET,"71606,6"
7 févr. 2024 09:07:39 CET,"71606,8"
7 févr. 2024 09:07:54 CET,"71607,0"
7 févr. 2024 09:08:09 CET,"71607,3"
7 févr. 2024 09:08:24 CET,"71607,5"
7 févr. 2024 09:08:39 CET,"71607,7"
7 févr. 2024 09:08:55 CET,"71607,9"
7 févr. 2024 09:09:10 CET,"71608,1"
7 févr. 2024 09:09:25 CET,"71608,4"
7 févr. 2024 09:09:40 CET,"71608,6"
7 févr. 2024 09:09:55 CET,"71608,9"
7 févr. 2024 09:10:10 CET,"71609,1"
7 févr. 2024 09:10:25 CET,"71609,3"
7 févr. 2024 09:10:40 CET,"71609,5"
7 févr. 2024 09:10:55 CET,"71609,7"
7 févr. 2024 09:11:10 CET,"71610,0"
7 févr. 2024 09:11:25 CET,"71610,2"
7 févr. 2024 09:11:40 CET,"71610,4"
7 févr. 2024 09:11:55 CET,"71610,7"
7 févr. 2024 09:12:10 CET,"71610,9"
7 févr. 2024 09:12:26 CET,"71611,1"
7 févr. 2024 09:12:41 CET,"71611,4"
7 févr. 2024 09:12:56 CET,"71611,6"
7 févr. 2024 09:13:11 CET,"71611,9"
7 févr. 2024 09:13:26 CET,"71612,1"
7 févr. 2024 09:13:41 CET,"71612,3"
7 févr. 2024 09:13:56 CET,"71612,5"
7 févr. 2024 09:14:11 CET,"71612,7"
7 févr. 2024 09:14:26 CET,"71612,9"
7 févr. 2024 09:14:41 CET,"71613,1"
