Timestamp,ENSEM_ENSAIA/Centrale mesure générale-intensité moyenne (A)
7 févr. 2024 08:37:11 CET,"76,6"
7 févr. 2024 08:37:26 CET,"75,0"
7 févr. 2024 08:37:41 CET,"74,8"
7 févr. 2024 08:37:56 CET,"77,2"
7 févr. 2024 08:38:11 CET,"79,5"
7 févr. 2024 08:38:26 CET,"79,1"
7 févr. 2024 08:38:43 CET,"79,9"
7 févr. 2024 08:38:58 CET,"80,2"
7 févr. 2024 08:39:13 CET,"81,1"
7 févr. 2024 08:39:29 CET,"75,5"
7 févr. 2024 08:39:44 CET,"75,4"
7 févr. 2024 08:39:59 CET,"74,8"
7 févr. 2024 08:40:14 CET,"75,6"
7 févr. 2024 08:40:29 CET,"73,9"
7 févr. 2024 08:40:59 CET,"73,4"
7 févr. 2024 08:41:14 CET,"74,2"
7 févr. 2024 08:41:29 CET,"73,2"
7 févr. 2024 08:41:44 CET,"74,2"
7 févr. 2024 08:41:59 CET,"73,5"
7 févr. 2024 08:42:14 CET,"73,8"
7 févr. 2024 08:42:29 CET,"73,4"
7 févr. 2024 08:42:44 CET,"79,8"
7 févr. 2024 08:43:00 CET,"81,3"
7 févr. 2024 08:43:15 CET,"80,7"
7 févr. 2024 08:43:30 CET,"80,5"
7 févr. 2024 08:43:45 CET,"79,9"
7 févr. 2024 08:44:00 CET,"80,1"
7 févr. 2024 08:44:15 CET,"79,9"
7 févr. 2024 08:44:30 CET,"80,6"
7 févr. 2024 08:44:45 CET,"84,3"
7 févr. 2024 08:45:16 CET,"83,3"
7 févr. 2024 08:45:30 CET,"84,2"
7 févr. 2024 08:45:45 CET,"85,5"
7 févr. 2024 08:46:00 CET,"84,4"
7 févr. 2024 08:46:16 CET,"79,7"
7 févr. 2024 08:46:31 CET,"80,4"
7 févr. 2024 08:46:46 CET,"79,8"
7 févr. 2024 08:47:02 CET,"80,4"
7 févr. 2024 08:47:16 CET,"79,2"
7 févr. 2024 08:47:31 CET,"79,4"
7 févr. 2024 08:47:46 CET,"77,9"
7 févr. 2024 08:48:01 CET,"78,2"
7 févr. 2024 08:48:16 CET,"79,0"
7 févr. 2024 08:48:31 CET,"78,8"
7 févr. 2024 08:48:46 CET,"79,0"
7 févr. 2024 08:49:01 CET,"78,0"
7 févr. 2024 08:49:17 CET,"78,6"
7 févr. 2024 08:49:32 CET,"79,3"
7 févr. 2024 08:49:47 CET,"79,1"
7 févr. 2024 08:50:02 CET,"80,6"
7 févr. 2024 08:50:17 CET,"79,8"
7 févr. 2024 08:50:32 CET,"80,9"
7 févr. 2024 08:50:47 CET,"80,1"
7 févr. 2024 08:51:02 CET,"80,2"
7 févr. 2024 08:51:17 CET,"80,1"
7 févr. 2024 08:51:32 CET,"85,8"
7 févr. 2024 08:51:47 CET,"84,3"
7 févr. 2024 08:52:02 CET,"85,2"
7 févr. 2024 08:52:48 CET,"83,3"
7 févr. 2024 08:53:03 CET,"79,6"
7 févr. 2024 08:53:18 CET,"80,0"
7 févr. 2024 08:53:33 CET,"80,5"
7 févr. 2024 08:53:48 CET,"80,0"
7 févr. 2024 08:54:03 CET,"80,5"
7 févr. 2024 08:54:18 CET,"79,0"
7 févr. 2024 08:54:33 CET,"80,3"
7 févr. 2024 08:54:48 CET,"78,8"
7 févr. 2024 08:55:18 CET,"78,6"
7 févr. 2024 08:55:33 CET,"79,6"
7 févr. 2024 08:55:49 CET,"79,2"
7 févr. 2024 08:56:04 CET,"78,9"
7 févr. 2024 08:56:19 CET,"79,0"
7 févr. 2024 08:56:34 CET,"80,3"
7 févr. 2024 08:56:49 CET,"80,2"
7 févr. 2024 08:57:05 CET,"80,7"
7 févr. 2024 08:57:20 CET,"80,5"
7 févr. 2024 08:57:35 CET,"81,3"
7 févr. 2024 08:57:52 CET,"80,4"
7 févr. 2024 08:58:06 CET,"84,1"
7 févr. 2024 08:58:36 CET,"84,4"
7 févr. 2024 08:58:53 CET,"85,0"
7 févr. 2024 08:59:08 CET,"84,7"
7 févr. 2024 08:59:23 CET,"81,1"
7 févr. 2024 08:59:53 CET,"80,7"
7 févr. 2024 09:00:08 CET,"80,2"
7 févr. 2024 09:00:23 CET,"81,4"
7 févr. 2024 09:01:08 CET,"81,7"
7 févr. 2024 09:01:23 CET,"80,6"
7 févr. 2024 09:01:38 CET,"80,7"
