Timestamp,ENSEM_ENSAIA/Centrale mesure générale-puissance active totale (kW)
7 févr. 2024 08:29:39 CET,"51,1"
7 févr. 2024 08:29:54 CET,"50,5"
7 févr. 2024 08:30:17 CET,"50,1"
7 févr. 2024 08:30:25 CET,"50,3"
7 févr. 2024 08:30:40 CET,"50,1"
7 févr. 2024 08:30:55 CET,"50,3"
7 févr. 2024 08:31:10 CET,"50,7"
7 févr. 2024 08:31:25 CET,"52,1"
7 févr. 2024 08:31:40 CET,"53,6"
7 févr. 2024 08:31:55 CET,"51,9"
7 févr. 2024 08:32:10 CET,"52,8"
7 févr. 2024 08:32:25 CET,"52,4"
7 févr. 2024 08:32:40 CET,"51,8"
7 févr. 2024 08:32:55 CET,"48,8"
7 févr. 2024 08:33:10 CET,"49,5"
7 févr. 2024 08:33:25 CET,"49,1"
7 févr. 2024 08:33:41 CET,"49,2"
7 févr. 2024 08:33:56 CET,"48,7"
7 févr. 2024 08:34:11 CET,"49,7"
7 févr. 2024 08:34:26 CET,"50,2"
7 févr. 2024 08:34:41 CET,"49,6"
7 févr. 2024 08:34:56 CET,"49,3"
7 févr. 2024 08:35:11 CET,"49,1"
7 févr. 2024 08:35:41 CET,"49,4"
7 févr. 2024 08:35:56 CET,"49,5"
7 févr. 2024 08:36:11 CET,"50,3"
7 févr. 2024 08:36:26 CET,"49,9"
7 févr. 2024 08:36:41 CET,"50,1"
7 févr. 2024 08:37:11 CET,"52,3"
7 févr. 2024 08:37:27 CET,"50,8"
7 févr. 2024 08:37:42 CET,"50,6"
7 févr. 2024 08:37:57 CET,"54,2"
7 févr. 2024 08:38:12 CET,"53,8"
7 févr. 2024 08:38:27 CET,"53,5"
7 févr. 2024 08:38:44 CET,"54,4"
7 févr. 2024 08:39:14 CET,"55,0"
7 févr. 2024 08:39:29 CET,"51,1"
7 févr. 2024 08:39:59 CET,"50,6"
7 févr. 2024 08:40:14 CET,"51,2"
7 févr. 2024 08:40:29 CET,"50,0"
7 févr. 2024 08:40:45 CET,"49,7"
7 févr. 2024 08:41:00 CET,"49,9"
7 févr. 2024 08:41:15 CET,"49,7"
7 févr. 2024 08:41:45 CET,"49,9"
7 févr. 2024 08:42:00 CET,"49,6"
7 févr. 2024 08:42:30 CET,"49,8"
7 févr. 2024 08:42:45 CET,"54,2"
7 févr. 2024 08:43:00 CET,"55,7"
7 févr. 2024 08:43:15 CET,"54,6"
7 févr. 2024 08:43:30 CET,"55,0"
7 févr. 2024 08:43:45 CET,"54,5"
7 févr. 2024 08:44:00 CET,"54,6"
7 févr. 2024 08:44:16 CET,"54,5"
7 févr. 2024 08:44:31 CET,"55,0"
7 févr. 2024 08:44:46 CET,"57,4"
7 févr. 2024 08:45:16 CET,"57,0"
7 févr. 2024 08:45:31 CET,"57,5"
7 févr. 2024 08:45:46 CET,"58,1"
7 févr. 2024 08:46:01 CET,"57,3"
7 févr. 2024 08:46:16 CET,"55,0"
7 févr. 2024 08:46:46 CET,"54,8"
7 févr. 2024 08:47:02 CET,"54,9"
7 févr. 2024 08:47:17 CET,"54,0"
7 févr. 2024 08:47:32 CET,"54,1"
7 févr. 2024 08:47:47 CET,"53,0"
7 févr. 2024 08:48:02 CET,"53,3"
7 févr. 2024 08:48:17 CET,"53,6"
7 févr. 2024 08:48:32 CET,"53,8"
7 févr. 2024 08:48:47 CET,"53,2"
7 févr. 2024 08:49:02 CET,"53,0"
7 févr. 2024 08:49:17 CET,"53,7"
7 févr. 2024 08:49:32 CET,"54,0"
7 févr. 2024 08:49:47 CET,"53,7"
7 févr. 2024 08:50:02 CET,"55,2"
7 févr. 2024 08:50:18 CET,"54,6"
7 févr. 2024 08:50:33 CET,"55,4"
7 févr. 2024 08:50:48 CET,"54,7"
7 févr. 2024 08:51:03 CET,"54,8"
7 févr. 2024 08:51:18 CET,"54,5"
7 févr. 2024 08:51:33 CET,"58,1"
7 févr. 2024 08:51:48 CET,"57,7"
7 févr. 2024 08:52:03 CET,"58,0"
7 févr. 2024 08:52:18 CET,"58,3"
